name,artist,year,bpm,energy,dance,dB,liveness,valence,duration,acousticness,speechiness ,pop,genre,mood
SICKO MODE,Travis Scott,2018,155,73,83,-4,12,45,313,1,22,85,"hip hop, rap, slap house",Angry
Stan,Eminem,2000,80,77,78,-4,52,51,404,4,24,85,"detroit hip hop, hip hop, rap",Happy
Stay With Me,Sam Smith,2014,84,42,42,-6,11,18,173,59,4,85,"pop, uk pop",Sad
Thinking out Loud,Ed Sheeran,2014,79,45,78,-6,18,59,282,47,3,85,"pop, singer songwriter pop, uk pop",Calm
Umbrella,Rihanna,2008,174,83,58,-5,4,57,276,1,13,85,"barbadian pop, pop, urban contemporary",Happy
We Found Love,Rihanna,2011,128,77,73,-4,11,60,215,3,4,85,"barbadian pop, pop, urban contemporary",Happy
when the party's over,Billie Eilish,2019,83,11,37,-14,9,20,196,98,10,85,"art pop, pop",Sad
abcdefu,GAYLE,2021,122,54,70,-6,37,42,169,30,5,84,modern alternative pop,Angry
bad guy,Billie Eilish,2019,135,43,70,-11,10,56,194,33,38,84,"art pop, pop",Calm
Bad Romance,Lady Gaga,2009,119,92,70,-4,8,71,295,0,4,84,"art pop, dance pop, pop",Happy
Bored,Billie Eilish,2017,120,32,61,-13,8,11,181,90,5,84,"art pop, pop",Sad
Bring Me To Life,Evanescence,2003,95,94,33,-3,24,30,236,1,7,84,alternative metal,Angry
Can't Feel My Face,The Weeknd,2015,108,77,71,-6,11,58,214,11,4,84,karaoke,Happy
Delicate,Taylor Swift,2017,95,40,75,-10,9,5,232,22,7,84,pop,Sad
Doin' Time,Lana Del Rey,2019,145,56,64,-11,9,52,202,40,4,84,"art pop, pop",Happy
Don't,Bryson Tiller,2015,97,36,77,-6,10,19,198,22,20,84,"kentucky hip hop, r&b, rap",Sad
EARFQUAKE,"Tyler, The Creator",2019,80,50,55,-9,80,41,190,23,7,84,"hip hop, rap",Angry
Easy On Me,Adele,2021,142,37,60,-8,13,13,225,58,3,84,"british soul, pop, pop soul, uk pop",Sad
Empire State Of Mind,JAY-Z,2009,174,96,49,-2,46,81,277,3,39,84,"east coast hip hop, gangster rap, hip hop, pop rap, rap",Happy
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,2011,129,94,67,-3,30,53,252,19,16,84,"dance pop, miami hip hop, pop",Happy
Godzilla (feat. Juice WRLD),Eminem,2020,166,75,81,-5,29,83,211,14,34,84,"detroit hip hop, hip hop, rap",Happy
22,Taylor Swift,2012,104,73,66,-7,5,67,232,0,4,72,pop,Happy
Happier,Marshmello,2018,100,79,69,-3,17,67,214,19,5,84,"brostep, edm, pop, progressive electro house",Happy
soul,Train,2010,97,89,67,-4,8,80,217,19,4,84,"dance pop, neo mellow, pop, pop rock",Happy
HIGHEST IN THE ROOM,Travis Scott,2019,76,43,60,-9,21,6,176,5,3,84,"hip hop, rap, slap house",Sad
I WANNA BE YOUR SLAVE,Mï¿½ï¿½ne,2021,133,61,75,-4,18,96,173,0,4,84,"indie rock italiano, italian pop",Happy
In Da Club,50 Cent,2003,90,71,90,-3,7,78,193,26,37,84,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap",Happy
Infinity,Jaymes Young,2017,122,67,67,-7,30,49,238,15,4,84,indie poptimism,Angry
Leave Before You Love Me (with Jonas Brothers),Marshmello,2021,120,74,72,-5,12,64,155,0,4,84,"brostep, edm, pop, progressive electro house",Happy
Levitating,Dua Lipa,2020,103,88,70,-2,21,91,204,6,8,84,"dance pop, pop, uk pop",Happy
Love The Way You Lie,Eminem,2010,87,93,75,-5,52,64,263,24,23,84,"detroit hip hop, hip hop, rap",Happy
Maria Maria (feat. The Product G&B),Santana,1999,98,60,78,-6,3,68,262,4,13,84,"blues rock, classic rock, mexican classic rock",Happy
Needed Me,Rihanna,2016,111,31,67,-8,8,30,192,11,24,84,"barbadian pop, pop, urban contemporary",Sad
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,2021,90,70,68,-6,42,46,198,32,12,84,"canadian pop, pop",Angry
positions,Ariana Grande,2020,144,80,74,-5,9,68,172,47,9,84,pop,Happy
Ric Flair Drip (with Metro Boomin),Offset,2017,100,43,88,-8,11,33,173,15,21,84,"atl hip hop, hip hop, pop rap, rap, trap",Sad
Ride,Twenty One Pilots,2015,75,71,65,-5,11,57,215,1,4,84,"modern rock, pop, pov: indie, rock",Happy
Safe And Sound,Capital Cities,2013,118,82,66,-5,10,77,193,0,3,84,"metropopolis, modern rock",Happy
See You Again (feat. Charlie Puth),Wiz Khalifa,2015,80,48,69,-8,6,28,230,37,8,84,"hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap",Sad
Story of My Life,One Direction,2013,121,66,60,-6,12,29,245,23,5,84,"boy band, pop, post teen pop, talent show",Angry
Summer,Calvin Harris,2014,128,86,60,-4,14,74,223,2,3,84,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance",Happy
THATS WHAT I WANT,Lil Nas X,2021,88,85,74,-5,5,55,144,1,22,84,lgbtq+ hip hop,Happy
This Is What You Came For,Calvin Harris,2016,124,93,63,-3,15,47,222,20,3,84,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance",Angry
Toxic,Britney Spears,2003,143,84,77,-4,24,92,199,2,11,84,"dance pop, pop",Happy
Unforgettable,French Montana,2017,98,77,73,-5,10,73,234,3,12,84,"hip hop, pop rap, rap, southern hip hop, trap",Happy
funk,Mark Ronson,2015,115,61,86,-7,3,93,270,1,8,84,pop soul,Happy
Waiting For Love,Avicii,2015,128,74,58,-4,20,61,231,31,5,84,"dance pop, edm, pop, pop dance",Happy
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,2016,100,56,73,-8,18,35,218,62,13,84,"pop, viral pop",Angry
Yeah! (feat. Lil Jon & Ludacris),Usher,2004,105,79,89,-5,4,58,250,2,11,84,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary",Happy
7 Years,Lukas Graham,2016,120,47,77,-6,39,34,237,29,5,83,"danish pop, scandipop",Sad
a lot,21 Savage,2018,146,64,84,-8,34,27,289,4,9,83,"atl hip hop, hip hop, rap",Angry
All The Small Things,blink-182,1999,149,90,43,-5,61,68,167,1,5,83,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk",Happy
Baby,Justin Bieber,2010,65,86,73,-5,11,54,214,4,14,83,"canadian pop, pop",Happy
Bruises,Lewis Capaldi,2019,111,31,74,-8,19,36,220,95,7,83,"pop, uk pop",Sad
Cake By The Ocean,DNCE,2016,119,75,77,-5,4,90,219,15,5,83,"dance pop, pop",Happy
Call Me Maybe,Carly Rae Jepsen,2012,120,58,78,-7,11,66,193,1,4,83,"canadian pop, dance pop, pop",Happy
Can't Stop,Red Hot Chili Peppers,2002,91,94,62,-3,17,88,269,2,5,83,"alternative rock, funk metal, funk rock, permanent wave, rock",Happy
Desesperados,Rauw Alejandro,2021,90,69,87,-3,9,51,225,36,8,83,"puerto rican pop, reggaeton, trap latino, urbano latino",Happy
Don't Start Now,Dua Lipa,2020,124,79,79,-5,10,68,183,1,8,83,"dance pop, pop, uk pop",Happy
Dynamite,BTS,2020,114,77,75,-4,9,74,199,1,10,83,"k pop, k pop boy group, pop",Happy
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,2021,77,78,73,-4,43,56,173,24,27,83,"modern rock, pop, rock",Happy
Feel So Close - Radio Edit,Calvin Harris,2012,128,92,71,-3,20,92,206,0,3,83,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance",Happy
